STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120501 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120501 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120601 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120601 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120701 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120701 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120801 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120801 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120901 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20120901 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20121001 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20121001 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20121101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20121101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20121201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20121201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130301 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130301 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130401 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130401 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130501 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130501 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130601 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130601 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130701 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130701 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130801 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130801 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130901 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20130901 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20131001 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20131001 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20131101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20131101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20131201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20131201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20140101 00:00,999.99
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090101 01:00,0.00
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090102 09:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090102 10:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090102 11:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090102 12:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090102 13:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090102 14:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090102 19:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090105 12:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090120 14:00,999.99
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090120 16:00,999.99
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 00:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 02:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 03:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 04:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 05:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 06:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 08:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 09:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 11:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 12:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 13:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090122 15:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 01:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 03:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 04:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 05:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 06:00,0.20
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 13:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 14:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 15:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 16:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 18:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090123 21:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 02:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 05:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 06:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 07:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 08:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 11:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 17:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 19:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 20:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 21:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090124 23:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090125 08:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090125 09:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090125 11:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090126 13:00,0.10
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090201 01:00,0.00
COOP:040883,BLODGETT EXPER FOREST CA US,1345.4,38.9091,-120.6677,20090202 11:00,999.99
